room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
37864,162705,Entire home/apt,Back Bay,73,5,2,0,314,2,42.35086,-71.083071,53:34.7
39116,167745,Private room,Fenway,28,5,2,1,143,1,42.341343,-71.098624,39:27.7
40601,174986,Private room,Jamaica Plain,35,5,2,1,91,4,42.315099,-71.111079,15:20.9
43460,189855,Entire home/apt,Roxbury,122,4.5,4,2,171,3,42.319914,-71.080131,35:07.6
44205,128280,Entire home/apt,Charlestown,68,5,2,1,268,2,42.376551,-71.066769,23:16.4
45987,205107,Entire home/apt,Charlestown,70,4.5,3,1,171,3,42.374043,-71.061177,20:03.1
47521,119019,Private room,Dorchester,166,4.5,3,1,63,1,42.29772,-71.05924,19:09.5
47722,25188,Private room,Back Bay,0,,2,1,330,2,42.345991,-71.079859,49:49.7
47725,25188,Private room,Back Bay,0,,2,1,296,2,42.345948,-71.081943,51:37.9
48612,206505,Entire home/apt,Back Bay,21,4.5,5,2,337,1,42.345637,-71.080672,52:02.2
50032,228845,Entire home/apt,Jamaica Plain,6,5,12,4,662,3,42.315911,-71.112757,53:12.9
52423,25188,Entire home/apt,Fenway,4,4.5,4,2,353,4,42.343922,-71.097201,36:32.9
54215,25188,Entire home/apt,Fenway,4,4,4,2,394,4,42.343453,-71.101668,36:37.1
54487,25188,Entire home/apt,Fenway,1,5,3,1,324,3,42.343471,-71.100383,45:07.3
54944,25188,Entire home/apt,Beacon Hill,2,4.5,2,1,274,3,42.356823,-71.070244,18:41.6
56937,25188,Entire home/apt,Back Bay,9,4.5,4,2,398,3,42.346543,-71.078531,49:10.8
57156,271947,Entire home/apt,Dorchester,8,5,2,1,97,7,42.310042,-71.049418,29:33.6
57800,68870,Private room,East Boston,69,4.5,1,1,74,1,42.383021,-71.000332,37:07.4
66288,324630,Entire home/apt,Mission Hill,261,4,2,1,67,1,42.332152,-71.106742,57:24.6
67774,26988,Entire home/apt,Beacon Hill,2,5,3,1,228,5,42.358669,-71.063315,31:40.4
67946,25188,Private room,Fenway,1,4.5,3,1,283,4,42.345009,-71.098724,49:18.5
68902,25188,Private room,Beacon Hill,3,4.5,4,1,558,2,42.355365,-71.073005,14:06.7
72447,26988,Entire home/apt,Back Bay,3,4.5,3,1,257,4,42.34538,-71.078853,05:08.4
72811,378555,Private room,Allston,86,4.5,2,1,71,2,42.356861,-71.130578,50:02.4
76073,405376,Entire home/apt,Brighton,29,4.5,11,5,285,3,42.352725,-71.16882,15:43.8
77681,416912,Private room,Charlestown,6,4,2,1,200,2,42.378533,-71.061769,53:35.5
77691,119019,Private room,Dorchester,132,4.5,2,1,68,1,42.297709,-71.059791,59:39.1
82637,416912,Private room,Charlestown,6,3,2,1,200,2,42.378334,-71.061818,39:48.9
93505,501427,Entire home/apt,Charlestown,121,4.5,4,2,213,3,42.377579,-71.063764,27:48.5
95453,508268,Entire home/apt,Allston,7,5,2,1,200,3,42.359372,-71.13156,47:39.2
115936,228845,Entire home/apt,Jamaica Plain,5,2.5,12,4,542,3,42.315576,-71.113057,49:30.2
118905,434539,Entire home/apt,East Boston,9,4.5,4,2,319,3,42.379327,-71.033761,58:26.0
130552,25188,Entire home/apt,Mission Hill,2,5,4,2,361,5,42.334678,-71.102513,02:38.8
159966,766862,Private room,South Boston,1,5,2,1,108,6,42.334781,-71.043392,48:18.3
160572,766862,Entire home/apt,South Boston,1,4.5,7,3,337,7,42.333243,-71.042,25:01.7
163941,8229,Entire home/apt,Roxbury,61,4.5,6,2,228,3,42.329804,-71.095149,46:50.5
164418,784237,Private room,West Roxbury,25,4.5,2,1,74,2,42.295118,-71.14877,28:22.2
169430,807320,Entire home/apt,Roxbury,70,4.5,10,4,137,2,42.321421,-71.090556,44:31.7
176006,841314,Private room,Roxbury,55,5,2,1,68,3,42.314344,-71.073502,06:05.1
177129,847253,Private room,Dorchester,67,5,3,1,90,2,42.293428,-71.067731,53:58.9
179244,119019,Private room,Dorchester,66,4.5,2,1,71,1,42.297805,-71.058928,17:22.5
179245,119019,Private room,Dorchester,21,4.5,2,1,68,1,42.299154,-71.058786,17:55.7
180914,25188,Entire home/apt,Fenway,2,4,3,1,308,3,42.343944,-71.098309,26:20.3
182049,434539,Entire home/apt,East Boston,22,5,4,2,274,3,42.3798,-71.033251,12:22.8
182613,875739,Entire home/apt,Charlestown,16,4.5,8,2,284,6,42.377387,-71.060435,38:35.8
189965,205107,Private room,Charlestown,20,4.5,2,1,143,3,42.375675,-71.060804,02:44.6
195515,25188,Entire home/apt,Mission Hill,1,4.5,3,1,330,4,42.332588,-71.100684,30:29.3
196806,958639,Shared room,Fenway,21,5,1,1,90,4,42.344524,-71.086837,35:47.5
197146,25188,Entire home/apt,Back Bay,11,5,4,2,406,2,42.347946,-71.084882,08:50.5
197727,964356,Private room,Jamaica Plain,17,5,1,1,97,2,42.313197,-71.118324,43:09.5
197972,965697,Entire home/apt,Jamaica Plain,146,5,3,1,160,2,42.317321,-71.108338,37:39.2
198789,970426,Entire home/apt,Beacon Hill,31,4.5,4,2,226,7,42.358666,-71.068105,05:21.9
200265,847253,Private room,Dorchester,65,5,3,1,90,2,42.293626,-71.066521,32:01.7
202737,25188,Entire home/apt,Downtown,6,5,4,2,404,3,42.352464,-71.062,58:27.7
205095,1008058,Private room,Dorchester,10,5,2,1,82,1,42.285708,-71.09054,14:39.0
205894,119019,Private room,Dorchester,73,4.5,2,1,68,2,42.298491,-71.058802,30:20.9
210097,1035747,Private room,Jamaica Plain,64,5,2,1,103,2,42.318635,-71.106406,25:15.8
211921,1092168,Entire home/apt,Roslindale,52,5,5,1,108,2,42.281429,-71.125764,41:50.2
213086,886871,Private room,Dorchester,6,4.5,1,1,80,2,42.317216,-71.055244,42:46.7
215039,658397,Private room,Leather District,69,5,2,1,114,1,42.351763,-71.057074,05:22.7
217498,1123263,Private room,Brighton,73,5,2,1,113,2,42.352573,-71.150565,15:41.7
218259,25188,Entire home/apt,Downtown,4,4,3,1,330,3,42.352746,-71.063009,12:08.4
218984,970426,Entire home/apt,Beacon Hill,11,4.5,3,1,226,7,42.358375,-71.069309,47:51.4
220676,1144302,Private room,North End,113,5,3,1,79,3,42.36539,-71.054382,57:35.4
225224,85770,Private room,South End,80,4.5,1,1,97,1,42.346428,-71.07503,36:56.4
225834,1176995,Private room,Roslindale,19,5,2,1,74,2,42.280528,-71.130843,16:27.7
225979,1176995,Private room,Roslindale,36,5,1,1,63,1,42.281452,-71.12925,30:06.9
228883,25188,Entire home/apt,Fenway,4,4.5,5,2,375,3,42.343624,-71.097928,05:26.5
232990,847253,Private room,Dorchester,29,4.5,3,1,90,2,42.294805,-71.068139,10:39.6
238846,434539,Entire home/apt,East Boston,8,4.5,4,2,297,3,42.380661,-71.03504,04:45.2
245099,658397,Entire home/apt,Downtown,93,5,4,2,257,1,42.348755,-71.055524,50:16.0
250345,25188,Entire home/apt,Beacon Hill,12,4.5,2,1,432,2,42.356484,-71.069452,54:17.9
250453,821678,Private room,Roxbury,24,5,1,1,97,1,42.294475,-71.094296,38:42.1
250983,8021,Entire home/apt,Jamaica Plain,13,5,7,2,399,1,42.323942,-71.108202,47:40.4
254138,1335006,Private room,West Roxbury,31,5,4,1,91,1,42.280021,-71.151777,29:43.9
256435,1334707,Private room,Mission Hill,102,5,2,1,108,2,42.332229,-71.107794,26:40.8
261512,1371888,Private room,Jamaica Plain,26,4.5,1,1,57,1,42.307601,-71.115964,07:26.5
272151,1424467,Entire home/apt,South End,33,5,2,1,205,8,42.341239,-71.074619,07:30.3
276450,1444340,Entire home/apt,Roxbury,26,4.5,4,1,191,2,42.33814,-71.080008,50:36.8
281822,1468890,Entire home/apt,South Boston,20,5,4,1,216,3,42.340008,-71.052676,48:09.0
285270,469595,Private room,Jamaica Plain,41,5,2,1,91,2,42.317052,-71.110663,39:00.8
295285,1271326,Private room,West Roxbury,6,4.5,4,1,91,1,42.287194,-71.16816,56:09.6
297994,1536237,Private room,South Boston,34,4.5,1,1,114,1,42.335338,-71.054582,00:58.4
315982,119019,Entire home/apt,Dorchester,55,4.5,6,2,179,2,42.29929,-71.05997,34:51.8
318050,1632478,Private room,South End,126,5,2,1,110,1,42.339796,-71.078534,45:40.4
321328,8302344,Private room,Roslindale,6,4.5,2,1,86,1,42.292238,-71.134497,19:22.1
322593,1651480,Entire home/apt,South End,83,4.5,2,1,240,2,42.343488,-71.076802,12:36.2
332225,1693497,Entire home/apt,Jamaica Plain,24,5,8,4,330,1,42.291288,-71.11396,33:12.1
333808,1698147,Private room,Roxbury,15,5,2,1,79,2,42.307355,-71.099825,57:30.3
336788,1713309,Entire home/apt,Roxbury,53,5,2,1,285,1,42.338259,-71.080206,12:25.4
336946,1713739,Entire home/apt,Jamaica Plain,12,4.5,3,1,154,1,42.288258,-71.113067,19:48.4
336960,1713739,Private room,Jamaica Plain,83,4.5,3,1,76,2,42.289653,-71.114721,27:12.0
341207,1730791,Private room,Allston,34,5,1,1,57,1,42.351553,-71.137582,44:50.9
348762,1765838,Private room,Jamaica Plain,30,5,2,1,97,4,42.3057,-71.113621,41:21.4
349347,1444340,Entire home/apt,South End,22,4.5,4,1,171,2,42.339209,-71.080181,19:49.7
349409,1770277,Entire home/apt,Jamaica Plain,3,5,8,4,399,4,42.323312,-71.105927,49:49.2
350205,411715,Entire home/apt,Fenway,30,5,5,1,314,1,42.3456,-71.087458,04:09.7
357528,1809232,Shared room,South End,59,5,1,1,106,3,42.345276,-71.07042,14:51.9
363127,1468890,Entire home/apt,South Boston,25,5,5,1,216,3,42.341861,-71.05151,57:15.4
366038,633554,Entire home/apt,Downtown,116,4.5,2,1,228,1,42.359463,-71.059094,44:36.0
366877,1001538,Entire home/apt,South End,19,5,4,2,227,2,42.346157,-71.074216,10:02.7
369880,1683708,Entire home/apt,North End,1,5,4,1,160,5,42.36609,-71.052555,45:24.3
369940,1683708,Entire home/apt,North End,4,5,4,2,227,5,42.36519,-71.055361,06:02.3
377474,119019,Entire home/apt,Dorchester,13,4.5,12,4,399,2,42.29839,-71.059312,03:42.3
381187,1912147,Entire home/apt,Jamaica Plain,9,5,8,3,513,2,42.314174,-71.115415,56:51.5
382297,1877341,Entire home/apt,South End,37,5,2,1,200,7,42.343943,-71.078573,40:46.7
395975,1931881,Private room,South Boston,2,5,2,1,112,1,42.33644,-71.028744,36:19.4
400067,1997048,Private room,Dorchester,14,4.5,1,1,56,3,42.300883,-71.081897,34:14.7
431434,980059,Entire home/apt,South Boston,7,4.5,4,2,228,2,42.335331,-71.05168,32:59.7
441014,2114859,Entire home/apt,West End,3,5,2,1,169,2,42.361912,-71.068403,28:08.1
442735,1592221,Entire home/apt,South End,30,5,5,2,268,2,42.344365,-71.065224,52:36.3
444425,2200139,Entire home/apt,Beacon Hill,0,,4,1,137,1,42.35957,-71.067958,00:35.9
447435,2221905,Private room,East Boston,134,4.5,2,1,68,3,42.366304,-71.033906,38:35.4
447826,2053557,Private room,Jamaica Plain,101,5,2,1,74,3,42.317134,-71.10966,36:51.8
451872,2244581,Private room,South Boston,112,4,2,1,108,1,42.339559,-71.055443,12:03.3
453660,2254462,Private room,South End,21,5,3,1,147,1,42.343167,-71.072317,09:53.9
458215,1956464,Private room,Jamaica Plain,41,5,2,1,200,2,42.309358,-71.117404,53:23.9
466300,2265368,Entire home/apt,South End,2,5,3,1,280,6,42.337529,-71.074143,00:30.9
466361,2315920,Entire home/apt,Brighton,23,4.5,5,2,86,1,42.361078,-71.142325,28:56.3
474066,2161881,Entire home/apt,Roxbury,64,4.5,3,1,228,3,42.334213,-71.079148,42:28.9
482711,845592,Entire home/apt,Fenway,69,5,3,1,228,3,42.344422,-71.088199,14:18.4
491332,2357193,Entire home/apt,Brighton,34,5,2,1,165,2,42.339397,-71.14626,29:24.0
496022,1956464,Private room,Jamaica Plain,4,5,4,1,143,4,42.3092,-71.118365,14:06.1
497810,2329611,Entire home/apt,Downtown,15,4.5,8,3,455,1,42.354393,-71.060094,11:47.9
504515,1730791,Private room,Allston,22,5,1,1,40,1,42.35296,-71.137156,34:28.4
508017,2503703,Entire home/apt,Beacon Hill,29,4.5,2,1,181,3,42.359145,-71.067851,53:59.7
521691,2565588,Private room,South Boston,59,5,2,1,114,2,42.329434,-71.055188,47:04.6
526970,85770,Private room,South End,38,4.5,1,1,126,1,42.34523,-71.072823,58:46.8
530983,71783,Entire home/apt,Dorchester,6,5,9,4,285,3,42.314185,-71.060007,14:36.1
531552,71783,Entire home/apt,Dorchester,5,4.5,5,2,177,3,42.289813,-71.059005,43:35.4
533114,71783,Entire home/apt,Dorchester,2,5,6,2,228,3,42.311671,-71.061682,58:50.1
533152,71783,Entire home/apt,Dorchester,1,5,4,2,205,3,42.321889,-71.061829,18:23.4
536865,2618808,Entire home/apt,Dorchester,95,4.5,6,2,126,2,42.310864,-71.06815,12:10.6
543188,25188,Entire home/apt,Mission Hill,0,,4,2,296,3,42.333542,-71.101468,43:13.1
554720,2727109,Entire home/apt,Jamaica Plain,52,4.5,6,2,228,3,42.318569,-71.114154,49:22.6
561769,71783,Entire home/apt,Dorchester,2,5,6,2,194,3,42.31324,-71.062416,48:51.9
568234,2796082,Private room,Jamaica Plain,65,5,4,1,131,1,42.303347,-71.104974,22:07.6
570493,914630,Private room,Dorchester,21,5,4,1,137,3,42.288468,-71.054774,00:58.3
579605,71783,Entire home/apt,Dorchester,3,5,5,2,205,3,42.322803,-71.061845,06:31.5
581285,2859325,Private room,Roxbury,57,5,3,1,143,1,42.338982,-71.080951,20:43.5
583255,306407,Entire home/apt,Brighton,2,5,2,1,160,10,42.341713,-71.148512,39:40.8
585028,2883279,Entire home/apt,South End,25,4.5,4,1,228,1,42.346193,-71.073998,29:40.1
585148,2883829,Entire home/apt,South End,5,5,2,1,257,1,42.337722,-71.064863,30:49.2
586994,2894162,Entire home/apt,Beacon Hill,15,4.5,2,1,183,5,42.358926,-71.063109,59:42.4
593855,1320067,Private room,Jamaica Plain,70,4.5,2,1,102,1,42.312766,-71.112142,32:11.5
594693,2139546,Private room,Jamaica Plain,7,5,2,1,74,1,42.307975,-71.116221,58:00.4
602975,2984489,Private room,East Boston,118,5,1,1,74,2,42.37114,-71.035192,43:19.0
607360,3009189,Entire home/apt,Bay Village,14,5,4,1,428,2,42.347996,-71.070977,02:12.8
611107,25188,Entire home/apt,Mission Hill,1,4.5,3,1,330,3,42.333536,-71.102173,13:09.4
613719,970426,Entire home/apt,Beacon Hill,7,5,4,1,226,7,42.358973,-71.067036,39:19.6
619142,501427,Entire home/apt,Charlestown,68,5,2,1,200,3,42.378079,-71.063433,06:03.3
623731,3093639,Private room,South Boston,33,5,2,1,143,3,42.332747,-71.057189,55:07.1
625012,3100734,Private room,Back Bay,86,5,2,1,141,2,42.352999,-71.075675,55:38.6
627048,25188,Entire home/apt,Back Bay,9,4.5,4,2,398,4,42.345088,-71.080165,47:59.6
647583,2006852,Private room,North End,2,5,2,1,103,1,42.363055,-71.051978,18:17.4
648307,2356643,Entire home/apt,Beacon Hill,29,3.5,2,0,204,2,42.357527,-71.063592,55:19.4
648991,2244581,Entire home/apt,South Boston,78,4,2,1,148,1,42.342527,-71.055164,11:31.0
650956,3269854,Entire home/apt,South End,13,5,6,2,319,3,42.345187,-71.072295,39:38.1
651622,3274255,Entire home/apt,Downtown,0,,2,1,171,14,42.360199,-71.062462,47:20.9
658029,1444340,Entire home/apt,Roxbury,18,4,4,1,186,1,42.339233,-71.081413,50:56.0
662452,839704,Entire home/apt,Back Bay,20,4.5,2,1,398,2,42.354562,-71.075025,26:48.9
679585,1591855,Private room,South End,32,5,2,1,143,2,42.340873,-71.070611,18:57.9
681251,1591855,Entire home/apt,South End,2,4.5,4,2,257,2,42.341414,-71.074564,13:11.1
690109,1425273,Private room,South Boston,45,5,1,1,108,1,42.34186,-71.05528,31:16.0
693353,25188,Entire home/apt,Back Bay,7,4.5,2,1,341,3,42.346867,-71.078999,48:54.0
697078,26988,Entire home/apt,Beacon Hill,0,,3,1,200,14,42.358931,-71.063311,01:40.6
705900,508268,Entire home/apt,Back Bay,3,5,4,1,261,3,42.348631,-71.090077,50:43.1
705919,508268,Entire home/apt,South End,18,5,3,1,200,3,42.343129,-71.081141,01:39.6
708802,3648427,Entire home/apt,Charlestown,111,5,4,1,200,2,42.37755,-71.062805,34:04.9
713627,3581975,Entire home/apt,Jamaica Plain,0,,2,1,143,3,42.309574,-71.106292,16:11.0
716245,3690995,Entire home/apt,Brighton,39,4.5,5,2,114,2,42.34502,-71.168142,44:16.7
716512,25188,Entire home/apt,Fenway,0,,4,2,375,4,42.344011,-71.098815,49:36.9
721979,25188,Entire home/apt,Downtown,3,4.5,4,2,404,3,42.352452,-71.062251,24:23.5
725435,95959,Entire home/apt,South End,4,5,7,3,399,3,42.339769,-71.076553,29:50.9
728238,2139546,Private room,Jamaica Plain,29,4,2,1,63,1,42.309632,-71.116218,23:34.3
732932,3817361,Private room,Jamaica Plain,12,5,2,1,143,1,42.303763,-71.114003,57:13.9
732999,3817361,Entire home/apt,Jamaica Plain,11,5,4,2,285,1,42.304559,-71.113643,31:13.4
734547,1294268,Entire home/apt,Back Bay,17,4,3,1,387,1,42.348917,-71.082923,37:25.9
734559,3765817,Private room,Brighton,2,5,1,1,113,1,42.353769,-71.169683,43:22.9
743211,2796082,Entire home/apt,Jamaica Plain,26,5,8,4,570,3,42.305813,-71.112597,16:49.6
744191,25188,Entire home/apt,Fenway,0,,2,1,291,3,42.344892,-71.098693,05:27.2
746718,3731207,Private room,West End,52,4.5,2,1,154,4,42.361988,-71.067204,48:15.0
750438,3945438,Private room,Jamaica Plain,27,4.5,2,1,86,2,42.306538,-71.110463,47:13.8
754845,25188,Entire home/apt,Back Bay,9,4.5,2,1,212,2,42.348317,-71.084743,16:45.8
764414,1320067,Entire home/apt,Jamaica Plain,7,4.5,6,2,114,1,42.311971,-71.110496,04:49.4
766700,3637081,Entire home/apt,North End,115,4.5,3,1,188,1,42.366393,-71.055369,55:32.9
769753,3731207,Entire home/apt,Beacon Hill,7,5,4,2,337,2,42.35638,-71.071393,45:54.1
771309,239850,Private room,Dorchester,1,5,1,1,143,1,42.308053,-71.049664,55:55.2
771596,4071372,Entire home/apt,South End,3,5,2,1,155,7,42.344296,-71.064688,02:01.0
777903,4102281,Private room,Jamaica Plain,4,4.5,2,1,90,1,42.307574,-71.13463,24:28.8
789843,4161865,Entire home/apt,Back Bay,0,,2,1,285,2,42.350845,-71.085584,37:14.6
796416,4195134,Entire home/apt,Back Bay,0,,4,2,333,14,42.352868,-71.075793,55:13.5
798957,1651480,Entire home/apt,South End,78,5,4,2,371,2,42.341213,-71.075711,55:43.4
801680,8229,Entire home/apt,Roxbury,15,4.5,4,1,222,3,42.328523,-71.095392,10:45.3
801722,8229,Private room,Roxbury,5,5,2,1,143,3,42.328192,-71.094049,29:19.8
802688,240224,Private room,South Boston,60,5,4,1,200,1,42.332763,-71.038575,02:06.9
807518,4249221,Entire home/apt,North End,27,4.5,2,1,211,1,42.363553,-71.055311,42:49.6
813694,1369074,Entire home/apt,Roxbury,11,5,4,2,183,5,42.307689,-71.100262,01:14.4
815639,3637081,Entire home/apt,North End,120,4.5,2,1,188,1,42.367581,-71.056113,07:37.2
820073,1911807,Entire home/apt,Downtown,17,5,4,1,512,2,42.356281,-71.061409,48:48.0
826555,4335656,Entire home/apt,South End,0,,4,1,86,7,42.347142,-71.074428,30:14.0
826706,1997048,Private room,Dorchester,3,3,2,1,73,4,42.299964,-71.080604,36:44.0
828748,3163607,Private room,Jamaica Plain,9,5,4,1,97,15,42.311779,-71.102604,33:44.0
831744,1944123,Entire home/apt,Allston,17,5,2,1,257,2,42.352832,-71.132956,55:31.4
839265,1997048,Private room,Dorchester,12,4.5,1,1,56,3,42.298224,-71.076214,44:45.0
839375,1730791,Private room,Allston,1,,1,1,57,1,42.351286,-71.136204,41:04.2
842786,4399996,Entire home/apt,South End,91,4.5,4,2,284,2,42.337222,-71.077628,12:52.0
848152,1220808,Entire home/apt,Jamaica Plain,16,4.5,6,2,228,2,42.326159,-71.099986,08:13.2
848253,1220808,Entire home/apt,Jamaica Plain,30,4.5,2,1,97,1,42.325214,-71.10626,01:03.6
849408,4434391,Entire home/apt,Roslindale,7,4.5,6,3,284,3,42.28882,-71.13951,55:43.1
856876,4480671,Shared room,Fenway,63,4.5,2,1,56,7,42.346506,-71.090171,16:59.2
859535,561190,Private room,Dorchester,4,4.5,1,1,67,2,42.324266,-71.058805,10:06.2
862469,4041125,Entire home/apt,South Boston,2,4,4,2,147,21,42.335477,-71.042977,58:04.2
875600,4623241,Entire home/apt,South End,18,5,2,1,204,2,42.344946,-71.070584,35:39.4
879929,4653380,Private room,Roslindale,19,5,2,1,103,1,42.29152,-71.131858,23:35.9
882645,4671025,Private room,South Boston,9,5,2,1,147,1,42.332709,-71.04593,43:49.4
887493,633554,Entire home/apt,Chinatown,29,5,2,1,257,1,42.349772,-71.059158,35:34.6
890442,4671025,Entire home/apt,South Boston,7,4.5,4,2,216,1,42.33263,-71.047662,33:02.2
890705,4729990,Private room,Mattapan,15,4.5,2,1,86,1,42.273556,-71.070858,36:09.3
891661,4737456,Entire home/apt,North End,73,4.5,4,1,143,2,42.368531,-71.053626,02:37.7
891953,3137257,Entire home/apt,Downtown,2,,3,1,285,7,42.361357,-71.055673,19:37.2
892738,4746775,Entire home/apt,Beacon Hill,16,5,3,1,205,3,42.357459,-71.065796,28:32.6
894539,4762495,Private room,Roslindale,17,5,2,1,108,1,42.290904,-71.130238,33:19.4
905018,4841388,Entire home/apt,Back Bay,20,4.5,2,1,314,1,42.353718,-71.077674,24:13.4
910066,25188,Entire home/apt,Dorchester,0,,2,1,147,3,42.2927,-71.091169,59:40.0
915272,4608023,Entire home/apt,Beacon Hill,76,4.5,3,1,183,2,42.358431,-71.068146,31:59.4
916123,3637081,Entire home/apt,North End,110,4.5,3,1,188,1,42.367223,-71.05736,16:14.2
919359,4480671,Private room,Fenway,42,4,3,1,113,7,42.345398,-71.09073,26:24.2
932853,5028116,Private room,Jamaica Plain,4,5,2,1,126,1,42.314215,-71.109407,00:32.4
935554,1590532,Private room,South End,16,5,2,1,165,2,42.343688,-71.074049,03:27.2
950046,5153431,Entire home/apt,Jamaica Plain,2,4.5,6,3,285,4,42.311853,-71.109263,10:30.8
951473,25188,Entire home/apt,Fenway,0,,3,1,324,3,42.343084,-71.100723,25:28.2
951474,25188,Entire home/apt,Fenway,1,4.5,3,1,318,3,42.344846,-71.100702,26:10.7
